"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\account\login_controller.dart", "Dart", 50, 2, 4, 56
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\account\register_controller.dart", "Dart", 131, 7, 10, 148
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\providers\register_provider.dart", "Dart", 42, 3, 6, 51
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\singleton\persistent_data.dart", "Dart", 23, 7, 11, 41
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\utils\intent_utils.dart", "Dart", 31, 2, 5, 38
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\firebase_options.dart", "Dart", 53, 12, 4, 69
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\main.dart", "Dart", 80, 13, 15, 108
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\model\account\register_model.dart", "Dart", 28, 0, 2, 30
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\model\constants\firebase_constants.dart", "Dart", 3, 0, 0, 3
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\services\firebase\auth.dart", "Dart", 31, 6, 6, 43
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\services\firebase\firestore.dart", "Dart", 14, 0, 2, 16
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\services\google\google.dart", "Dart", 21, 0, 5, 26
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\account_opening.dart", "Dart", 73, 7, 8, 88
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\login\login.dart", "Dart", 391, 24, 22, 437
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register.dart", "Dart", 352, 13, 21, 386
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register_email_pass.dart", "Dart", 164, 12, 12, 188
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register_phone_number.dart", "Dart", 155, 15, 14, 184
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register_successful.dart", "Dart", 63, 5, 7, 75
