"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\account\register_controller.dart", "Dart", 8, 0, 1, 9
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\providers\register_provider.dart", "Dart", 39, 2, 5, 46
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\firebase_options.dart", "Dart", 53, 12, 4, 69
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\main.dart", "Dart", 56, 4, 6, 66
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\services\firebase\auth.dart", "Dart", 31, 6, 6, 43
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\account_opening.dart", "Dart", 73, 7, 8, 88
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\login\login.dart", "Dart", 191, 13, 16, 220
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register.dart", "Dart", 202, 9, 16, 227
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register_email_pass.dart", "Dart", 177, 13, 12, 202
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register_phone_number.dart", "Dart", 126, 12, 14, 152
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register_successful.dart", "Dart", 63, 5, 7, 75
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register_verify_phone.dart", "Dart", 105, 8, 9, 122
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\widgets\terms_and_conditions.dart", "Dart", 389, 45, 36, 470
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\carousel\carousel_page.dart", "Dart", 12, 0, 3, 15
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\carousel\widgets\page_1.dart", "Dart", 117, 2, 5, 124
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\carousel\widgets\page_2.dart", "Dart", 152, 2, 5, 159
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\carousel\widgets\page_3.dart", "Dart", 152, 2, 5, 159
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\carousel\widgets\page_4.dart", "Dart", 152, 2, 5, 159
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\carousel\widgets\page_5.dart", "Dart", 152, 2, 5, 159
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\carousel\widgets\page_6.dart", "Dart", 152, 2, 5, 159
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\entry\entry_page_video.dart", "Dart", 49, 0, 10, 59
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\shared\colors.dart", "Dart", 7, 0, 0, 7
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\shared\components.dart", "Dart", 190, 3, 6, 199
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\shared\strings.dart", "Dart", 111, 12, 19, 142
"Total", "-", 2759, 163, 208, 3130
